# stage combo: 438 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
op	os	arch	=> form	=> symbol	=> sysno	=> arg0	=> arg1	=> arg2	=> arg3	=> arg4	=> arg5	=> ret	=> gate	=> nrreg	=> argshape	=> retconv	=> winimp
shr64	osx	arm64	arm	asr	none	none	none	none	none	none	none	none	none	none	plain	none	none
shr64	win	x86_64	x86	sar	none	none	none	none	none	none	none	none	none	none	plain	none	none
shr64	win	arm64	arm	asr	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	lnx	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	lnx	arm64	arm	blr	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	osx	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	osx	arm64	arm	blr	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	win	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
callr	win	arm64	arm	blr	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	lnx	x86_64	x86	setb	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	lnx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	osx	x86_64	x86	setb	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	osx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	win	x86_64	x86	setb	none	none	none	none	none	none	none	none	none	none	plain	none	none
ult64	win	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	lnx	x86_64	x86	setbe	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	lnx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	osx	x86_64	x86	setbe	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	osx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	win	x86_64	x86	setbe	none	none	none	none	none	none	none	none	none	none	plain	none	none
ule64	win	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	lnx	x86_64	x86	shr	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	lnx	arm64	arm	lsr	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	osx	x86_64	x86	shr	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	osx	arm64	arm	lsr	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	win	x86_64	x86	shr	none	none	none	none	none	none	none	none	none	none	plain	none	none
lshr64	win	arm64	arm	lsr	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	lnx	x86_64	x86	addsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	lnx	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	osx	x86_64	x86	addsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	osx	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	win	x86_64	x86	addsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd64	win	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	lnx	x86_64	x86	subsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	lnx	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	osx	x86_64	x86	subsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	osx	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	win	x86_64	x86	subsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub64	win	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	lnx	x86_64	x86	mulsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	lnx	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	osx	x86_64	x86	mulsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	osx	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	win	x86_64	x86	mulsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul64	win	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	lnx	x86_64	x86	divsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	lnx	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	osx	x86_64	x86	divsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	osx	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	win	x86_64	x86	divsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv64	win	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	lnx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	osx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	win	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt64	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	lnx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	osx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	win	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle64	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	lnx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	osx	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	win	x86_64	x86	ucomisd	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq64	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	lnx	x86_64	x86	addss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	lnx	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	osx	x86_64	x86	addss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	osx	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	win	x86_64	x86	addss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fadd32	win	arm64	arm	fadd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	lnx	x86_64	x86	subss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	lnx	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	osx	x86_64	x86	subss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	osx	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	win	x86_64	x86	subss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsub32	win	arm64	arm	fsub	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	lnx	x86_64	x86	mulss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	lnx	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	osx	x86_64	x86	mulss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	osx	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	win	x86_64	x86	mulss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fmul32	win	arm64	arm	fmul	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	lnx	x86_64	x86	divss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	lnx	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	osx	x86_64	x86	divss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	osx	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	win	x86_64	x86	divss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fdiv32	win	arm64	arm	fdiv	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	lnx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	osx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	win	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
flt32	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	lnx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	osx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	win	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fle32	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	lnx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	lnx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	osx	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	osx	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	win	x86_64	x86	ucomiss	none	none	none	none	none	none	none	none	none	none	plain	none	none
feq32	win	arm64	arm	fcmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	lnx	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	lnx	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	osx	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	osx	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	win	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtid	win	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	lnx	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	lnx	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	osx	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	osx	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	win	x86_64	x86	cvtsi2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtud	win	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	lnx	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	lnx	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	osx	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	osx	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	win	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtis	win	arm64	arm	scvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	lnx	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	lnx	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	osx	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	osx	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	win	x86_64	x86	cvtsi2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtus	win	arm64	arm	ucvtf	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	lnx	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	lnx	arm64	arm	fcvtzs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	osx	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	osx	arm64	arm	fcvtzs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	win	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdi	win	arm64	arm	fcvtzs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	lnx	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	lnx	arm64	arm	fcvtzu	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	osx	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	osx	arm64	arm	fcvtzu	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	win	x86_64	x86	cvttsd2si	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtdu	win	arm64	arm	fcvtzu	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	lnx	x86_64	x86	cvtss2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	lnx	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	osx	x86_64	x86	cvtss2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	osx	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	win	x86_64	x86	cvtss2sd	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtsd	win	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	lnx	x86_64	x86	cvtsd2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	lnx	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	osx	x86_64	x86	cvtsd2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	osx	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	win	x86_64	x86	cvtsd2ss	none	none	none	none	none	none	none	none	none	none	plain	none	none
cvtds	win	arm64	arm	fcvt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	lnx	x86_64	x86	sqrtsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	lnx	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	osx	x86_64	x86	sqrtsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	osx	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	win	x86_64	x86	sqrtsd	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt64	win	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	lnx	x86_64	x86	sqrtss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	lnx	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	osx	x86_64	x86	sqrtss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	osx	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	win	x86_64	x86	sqrtss	none	none	none	none	none	none	none	none	none	none	plain	none	none
fsqrt32	win	arm64	arm	fsqrt	none	none	none	none	none	none	none	none	none	none	plain	none	none
